,Unnamed: 0,Time(sec),Distance(feet),SOC,Elevation(feet),Surplus(Foot-pound)
15852,15852.0,14999.126436000031,659961.5631840011,0.7172746716844315,305.3518529497926,0.0
15853,15853.0,15000.126436000031,660005.5631840011,0.7171806966767598,305.96944559728223,0.0
15854,15854.0,15001.126436000031,660049.5631840011,0.7170867216690879,306.58703824477186,0.0
15855,15855.0,15002.126436000031,660093.5631840011,0.7169927466614163,307.2046308922615,0.0
15856,15856.0,15003.126436000031,660137.5631840011,0.7168987716537446,307.8222235397511,0.0
15857,15857.0,15004.126436000031,660181.5631840011,0.7168047966460728,308.43981618724075,0.0
15858,15858.0,15005.126436000031,660225.5631840011,0.7167108216384012,309.0574088347304,0.0
15859,15859.0,15006.126436000031,660269.5631840011,0.7166168466307294,309.67500148222,0.0
15860,15860.0,15007.126436000031,660313.5631840011,0.7165228716230576,310.29259412970964,0.0
15861,15861.0,15008.126436000031,660357.5631840011,0.716428896615386,310.91018677719927,0.0
15862,15862.0,15009.126436000031,660401.5631840011,0.7163349216077143,311.5277794246889,0.0
15863,15863.0,15010.126436000031,660445.5631840011,0.7162409466000424,312.14537207217853,0.0
15864,15864.0,15011.126436000031,660489.5631840011,0.7161469715923708,312.76296471966816,0.0
15865,15865.0,15012.126436000031,660533.5631840011,0.7160529965846991,313.3805573671578,0.0
15866,15866.0,15013.126436000031,660577.5631840011,0.7159590215770273,313.9981500146474,0.0
15867,15867.0,15014.126436000031,660621.5631840011,0.7158650465693557,314.61574266213705,0.0
15868,15868.0,15015.126436000031,660665.5631840011,0.715771071561684,315.2333353096267,0.0
15869,15869.0,15015.36781200004,660676.1837280014,0.7156686207127421,316.0,0.0
15870,15870.0,15016.36781200004,660720.1837280014,0.7156544132425601,316.0,0.0
15871,15871.0,15016.75311600004,660737.1371040015,0.7155627331426825,316.6674411,0.0
15872,15872.0,15017.75311600004,660781.1371040015,0.7155485256725004,316.6674411,0.0
15873,15873.0,15018.13842000004,660798.0904800015,0.7155111671115745,316.9143028,0.0
15874,15874.0,15019.13842000004,660842.0904800015,0.7154969596413924,316.9143028,0.0
15875,15875.0,15019.52373600004,660859.0443840014,0.7155105298667559,316.7405853,0.0
15876,15876.0,15020.52373600004,660903.0443840014,0.7154963223965738,316.7405853,0.0
15877,15877.0,15020.90904000004,660919.9977600015,0.7155533499791576,316.1462885,0.0
15878,15878.0,15021.160920000046,660931.0804800016,0.7155656026770987,316.0,0.0
15879,15879.0,15022.160920000046,660975.0804800016,0.7155513952069166,316.0,0.0
15880,15880.0,15023.160920000046,661019.0804800016,0.7156012999578446,315.40702145669354,0.0
15881,15881.0,15024.160920000046,661063.0804800016,0.7156512047087726,314.8140429133871,0.0
15882,15882.0,15025.160920000046,661107.0804800016,0.7157011094597006,314.2210643700806,0.0
15883,15883.0,15026.160920000046,661151.0804800016,0.7157510142106286,313.62808582677417,0.0
15884,15884.0,15027.160920000046,661195.0804800016,0.7158009189615566,313.0351072834677,0.0
15885,15885.0,15028.160920000046,661239.0804800016,0.7158508237124848,312.44212874016125,0.0
15886,15886.0,15029.160920000046,661283.0804800016,0.7159007284634127,311.8491501968548,0.0
15887,15887.0,15030.160920000046,661327.0804800016,0.7159506332143407,311.25617165354834,0.0
15888,15888.0,15031.160920000046,661371.0804800016,0.7160005379652687,310.6631931102419,0.0
15889,15889.0,15032.160920000046,661415.0804800016,0.7160504427161967,310.0702145669354,0.0
15890,15890.0,15033.160920000046,661459.0804800016,0.7161003474671247,309.47723602362896,0.0
15891,15891.0,15034.160920000046,661503.0804800016,0.7161502522180526,308.8842574803225,0.0
15892,15892.0,15035.160920000046,661547.0804800016,0.7162001569689807,308.29127893701605,0.0
15893,15893.0,15036.160920000046,661591.0804800016,0.7162500617199087,307.6983003937096,0.0
15894,15894.0,15037.160920000046,661635.0804800016,0.7162999664708366,307.1053218504032,0.0
15895,15895.0,15038.160920000046,661679.0804800016,0.7163498712217646,306.51234330709667,0.0
15896,15896.0,15039.160920000046,661723.0804800016,0.7163997759726927,305.9193647637902,0.0
15897,15897.0,15040.160920000046,661767.0804800016,0.7164496807236206,305.32638622048376,0.0
15898,15898.0,15041.160920000046,661811.0804800016,0.7164995854745486,304.7334076771773,0.0
15899,15899.0,15042.160920000046,661855.0804800016,0.7165494902254766,304.14042913387084,0.0
15900,15900.0,15043.160920000046,661899.0804800016,0.7165993949764046,303.5474505905644,0.0
15901,15901.0,15044.160920000046,661943.0804800016,0.7166492997273326,302.9544720472579,0.0
15902,15902.0,15045.160920000046,661987.0804800016,0.7166992044782606,302.36149350395146,0.0
15903,15903.0,15046.160920000046,662031.0804800016,0.7167491092291886,301.768514960645,0.0
15904,15904.0,15047.160920000046,662075.0804800016,0.7167990139801166,301.1755364173385,0.0
15905,15905.0,15048.160920000046,662119.0804800016,0.7168489187310446,300.5825578740321,0.0
15906,15906.0,15049.160920000046,662163.0804800016,0.7168988234819725,299.98957933072563,0.0
15907,15907.0,15050.160920000046,662207.0804800016,0.7169487282329006,299.3966007874192,0.0
15908,15908.0,15051.160920000046,662251.0804800016,0.7169986329838286,298.8036222441127,0.0
15909,15909.0,15052.160920000046,662295.0804800016,0.7170485377347565,298.21064370080626,0.0
15910,15910.0,15053.160920000046,662339.0804800016,0.7170984424856846,297.6176651574998,0.0
15911,15911.0,15054.160920000046,662383.0804800016,0.7171483472366126,297.02468661419334,0.0
15912,15912.0,15055.160920000046,662427.0804800016,0.7171982519875405,296.4317080708869,0.0
15913,15913.0,15056.160920000046,662471.0804800016,0.7172481567384685,295.8387295275804,0.0
15914,15914.0,15057.160920000046,662515.0804800016,0.7172980614893966,295.245750984274,0.0
15915,15915.0,15058.160920000046,662559.0804800016,0.7173479662403245,294.6527724409675,0.0
15916,15916.0,15059.160920000046,662603.0804800016,0.7173978709912524,294.05979389766105,0.0
15917,15917.0,15060.160920000046,662647.0804800016,0.7174477757421803,293.4668153543546,0.0
15918,15918.0,15061.160920000046,662691.0804800016,0.7174976804931082,292.87383681104814,0.0
15919,15919.0,15062.160920000046,662735.0804800016,0.7175475852440364,292.2808582677417,0.0
15920,15920.0,15063.160920000046,662779.0804800016,0.7175974899949643,291.6878797244352,0.0
15921,15921.0,15064.160920000046,662823.0804800016,0.7176473947458922,291.0949011811288,0.0
15922,15922.0,15065.160920000046,662867.0804800016,0.7176972994968204,290.5019226378223,0.0
15923,15923.0,15065.850564000037,662897.4248160012,0.7177929867359425,289.5,0.0
15924,15924.0,15066.850564000037,662941.4248160012,0.7177787792657604,289.5,0.0
15925,15925.0,15067.517844000042,662970.7851360014,0.7178492699132181,288.7443902,0.0
15926,15926.0,15068.517844000042,663014.7851360014,0.717835062443036,288.7443902,0.0
15927,15927.0,15069.185124000034,663044.145456001,0.7178615885648189,288.4142694,0.0
15928,15928.0,15070.185124000034,663088.145456001,0.7178473810946369,288.4142694,0.0
15929,15929.0,15070.85240400004,663117.5057760013,0.717825583076856,288.5096377,0.0
15930,15930.0,15071.85240400004,663161.5057760013,0.717811375606674,288.5096377,0.0
15931,15931.0,15072.519672000051,663190.8655680018,0.717734622115205,289.03049489999995,0.0
15932,15932.0,15073.519672000051,663234.8655680018,0.7177204146450229,289.03049489999995,0.0
15933,15933.0,15074.519672000051,663278.8655680018,0.7176493774248263,289.4704938879625,0.0
15934,15934.0,15075.519672000051,663322.8655680018,0.7175783402046295,289.91049287592506,0.0
15935,15935.0,15075.859464000036,663337.8164160012,0.7174973725754906,290.5,0.0
15936,15936.0,15076.67104800004,663373.5261120013,0.7174397197412596,290.8570974,0.0
15937,15937.0,15077.67104800004,663417.5261120013,0.7174255122710775,290.8570974,0.0
15938,15938.0,15078.67104800004,663461.5261120013,0.7173708134462687,291.1705979002209,0.0
15939,15939.0,15079.67104800004,663505.5261120013,0.7173161146214598,291.48409840044184,0.0
15940,15940.0,15079.917624000023,663516.3754560006,0.717262135849408,291.8749006,0.0
15941,15941.0,15080.917624000023,663560.3754560006,0.717247928379226,291.8749006,0.0
15942,15942.0,15081.917624000023,663604.3754560006,0.7172259068193011,291.9354004540002,0.0
15943,15943.0,15082.917624000023,663648.3754560006,0.7172038852593762,291.99590030800044,0.0
15944,15944.0,15083.164212000043,663659.2253280014,0.717190640917214,292.0713187,0.0
15945,15945.0,15084.164212000043,663703.2253280014,0.7171764334470319,292.0713187,0.0
15946,15946.0,15085.164212000043,663747.2253280014,0.7171849579584216,291.8788184166243,0.0
15947,15947.0,15086.164212000043,663791.2253280014,0.7171934824698114,291.6863181332486,0.0
15948,15948.0,15086.41078800004,663802.0746720013,0.717215474897267,291.4463519,0.0
15949,15949.0,15087.41078800004,663846.0746720013,0.717201267427085,291.4463519,0.0
15950,15950.0,15088.41078800004,663890.0746720013,0.7172359337272756,291.000851194025,0.0
15951,15951.0,15089.41078800004,663934.0746720013,0.717270600027466,290.55535048805007,0.0
15952,15952.0,15089.65736400004,663944.9240160012,0.7173251801814378,290.0,0.0
15953,15953.0,15090.65736400004,663988.9240160012,0.7173109727112558,290.0,0.0
15954,15954.0,15091.65736400004,664032.9240160012,0.7173590994914775,289.4242286701522,0.0
15955,15955.0,15092.65736400004,664076.9240160012,0.7174072262716991,288.84845734030444,0.0
15956,15956.0,15093.65736400004,664120.9240160012,0.7174553530519207,288.27268601045665,0.0
15957,15957.0,15094.65736400004,664164.9240160012,0.7175034798321422,287.69691468060887,0.0
15958,15958.0,15095.65736400004,664208.9240160012,0.717551606612364,287.1211433507611,0.0
15959,15959.0,15096.65736400004,664252.9240160012,0.7175997333925856,286.5453720209133,0.0
15960,15960.0,15097.65736400004,664296.9240160012,0.7176478601728071,285.9696006910655,0.0
15961,15961.0,15098.65736400004,664340.9240160012,0.7176959869530286,285.39382936121774,0.0
15962,15962.0,15099.65736400004,664384.9240160012,0.7177441137332502,284.81805803137,0.0
15963,15963.0,15100.65736400004,664428.9240160012,0.7177922405134718,284.2422867015222,0.0
