Elev,MP
291.7,574.633218
291.7,574.7738455
291.65625,574.778481
291.525,574.7831165
291.30625,574.787752
291,574.7923875
281,574.9238754
280.6507943,574.9300349
280.5333083,574.9361944
280.6475421,574.9423539
280.9934956,574.9485134
282,574.9619377
290.5,575.0753425
291.7613918,575.0978272
292.1739411,575.1203119
291.7376479,575.1427966
290.4525123,575.1652813
290,575.1712329
277,575.3493151
274.7934944,575.3783358
274.1147886,575.3899162
273.8396376,575.4014967
273.9680414,575.4130771
274.5,575.4246575
286,575.6232877
287.239847,575.6465948
288.0059062,575.669902
288.2981779,575.6932091
288.1166618,575.7165163
287.7,575.739726
286,575.8390411
285.9172945,575.8539591
286.2047945,575.8688771
286.8625,575.8837951
287.890411,575.8987132
290,575.9246575
297.7,576.0206186
299.5739591,576.0436651
301.2415724,576.0688313
302.1517837,576.0939975
302.3045929,576.1191637
301.7,576.1443299
298,576.2439863
297.78125,576.2503847
297.625,576.2567831
297.53125,576.2631816
297.5,576.26958
297.5,576.2817869
297.5,576.3539519
297.5,576.3834757
297.53125,576.3889814
297.625,576.394487
297.78125,576.3999926
298,576.4054983
301,576.4810997
301.1275052,576.4839076
301.5092216,576.4935149
301.7818763,576.5031222
301.9454691,576.5127295
302,576.5189003
302,576.5601375
304,576.6185567
304.7795218,576.640592
304.9041233,576.6445334
304.9990702,576.6484747
305.0643624,576.652416
305.1,576.6563574
306,576.814433
306.0682398,576.8273572
306.0363087,576.8361536
305.847625,576.8449501
305.5021888,576.8537465
305,576.862543
267.5,577.4275862
266.5368347,577.4473337
266.2540108,577.4670812
266.6515283,577.4868288
267.7293871,577.5065763
268,577.5103448
298,577.9241379
298.4375,577.9311009
298.75,577.938064
298.9375,577.945027
299,577.95199
299,577.9689655
299,578.1103448
301,578.262069
300.5,578.3724138
300.5,578.5172414
299.5,578.5586207
299.5,578.6965517
299.426969,578.7056966
299.2078759,578.7148415
298.8427207,578.7239864
298.3315034,578.7331313
294.5,578.7931034
286,578.9241379
285.7465695,578.9283253
285.5213286,578.9325128
285.3242774,578.9367002
285.1554158,578.9408876
284.5,578.9586207
284,578.9724138
283.8520761,578.9759827
283.6721176,578.9795516
283.4601247,578.9831205
283.2160974,578.9866894
283,578.9896552
272,579.1398601
271.6752941,579.1443165
271.1537783,579.1519436
270.700724,579.1595708
270.3161312,579.167198
270,579.1748252
269.784965,579.1801229
269.5314685,579.1854206
269.2395105,579.1907184
268.9090909,579.1960161
268,579.2097902
255.5,579.3986014
255.1882591,579.4033247
254.7902328,579.4117593
254.7095142,579.4201938
254.9461032,579.4286284
255.5,579.4370629
263.5,579.5314685
264.6142624,579.5487311
265.0403709,579.5659936
264.7783255,579.5832561
263.8281263,579.6005187
263.5,579.6048951
252,579.7552448
251.4815179,579.7621601
250.4985038,579.779662
250.1739128,579.7971639
250.5077449,579.8146659
251.5,579.8321678
261.5,579.965035
262.8125,579.9849015
263.75,580.004768
264.3125,580.0246345
264.5,580.044501
264.5,580.04811
264.5,580.1305842
264.4632474,580.1371355
264.3529897,580.1436867
