,Time(sec),Distance(feet),SOC,Elevation(feet),Surplus(Foot-pound)
101,100.333324000007,4414.666256000308,0.0,16.742857216326406,0.0
102,101.333324000007,4458.666256000308,0.0,16.70000008571414,0.0
103,102.333324000007,4502.666256000308,0.0,16.657142955101875,0.0
104,103.333324000007,4546.666256000308,0.0,16.61428582448961,0.0
105,104.333324000007,4590.666256000308,0.0,16.571428693877344,0.0
106,105.333324000007,4634.666256000308,0.0,16.52857156326508,0.0
107,106.333324000007,4678.666256000308,0.0,16.485714432652813,0.0
108,107.333324000007,4722.666256000308,0.0,16.442857302040547,0.0
109,108.333324000007,4766.666256000308,0.0,16.40000017142828,0.0
110,109.333324000007,4810.666256000308,0.0,16.357143040816016,0.0
111,110.333324000007,4854.666256000308,0.0,16.31428591020375,0.0
112,111.333324000007,4898.666256000308,0.0,16.271428779591485,0.0
113,112.333324000007,4942.666256000308,0.0,16.22857164897922,0.0
114,113.333324000007,4986.666256000308,0.0,16.185714518366954,0.0
115,114.333324000007,5030.666256000308,0.0,16.142857387754688,0.0
116,115.333324000007,5074.666256000308,0.0,16.100000257142423,0.0
117,116.333324000007,5118.666256000308,0.0,16.057143126530157,0.0
118,116.66666399999713,5133.333215999874,0.0,16.0,0.0
119,117.66666399999713,5177.333215999874,0.0,16.0,0.0
120,118.66666399999713,5221.333215999874,0.0,16.0,0.0
121,119.66666399999713,5265.333215999874,0.0,16.0,0.0
122,120.66666399999713,5309.333215999874,0.0,16.0,0.0
123,121.66666399999713,5353.333215999874,0.0,16.0,0.0
124,122.66666399999713,5397.333215999874,0.0,16.0,0.0
125,123.66666399999713,5441.333215999874,0.0,16.0,0.0
126,124.66666399999713,5485.333215999874,0.0,16.0,0.0
127,125.66666399999713,5529.333215999874,0.0,16.0,0.0
128,126.66666399999713,5573.333215999874,0.0,16.0,0.0
129,127.66666399999713,5617.333215999874,0.0,16.0,0.0
130,128.66666399999713,5661.333215999874,0.0,16.0,0.0
131,129.66666399999713,5705.333215999874,0.0,16.0,0.0
132,130.66666399999713,5749.333215999874,0.0,16.0,0.0
133,131.66666399999713,5793.333215999874,0.0,16.0,0.0
134,132.66666399999713,5837.333215999874,0.0,16.0,0.0
135,133.66666399999713,5881.333215999874,0.0,16.0,0.0
136,134.66666399999713,5925.333215999874,0.0,16.0,0.0
137,135.66666399999713,5969.333215999874,0.0,16.0,0.0
