,Time(sec),Distance(feet),SOC,Elevation(feet),Surplus(Foot-pound)
2692,2566.5598439999912,112928.63313599971,0.0,402.2257032464514,0.0
2693,2567.5598439999912,112972.63313599971,0.0,402.5330975550662,0.0
2694,2568.5598439999912,113016.63313599971,0.0,402.840491863681,0.0
2695,2569.5598439999912,113060.63313599971,0.0,403.1478861722958,0.0
2696,2570.5598439999912,113104.63313599971,0.0,403.4552804809106,0.0
2697,2571.5598439999912,113148.63313599971,0.0,403.76267478952536,0.0
2698,2572.5598439999912,113192.63313599971,0.0,404.07006909814015,0.0
2699,2573.5598439999912,113236.63313599971,0.0,404.37746340675494,0.0
2700,2574.5598439999912,113280.63313599971,0.0,404.68485771536973,0.0
2701,2575.5598439999912,113324.63313599971,0.0,404.9922520239845,0.0
2702,2576.5598439999912,113368.63313599971,0.0,405.2996463325993,0.0
2703,2577.5598439999912,113412.63313599971,0.0,405.6070406412141,0.0
2704,2577.8382,113424.8808000001,0.0,406.0,0.0
2705,2578.8382,113468.8808000001,0.0,406.0,0.0
2706,2579.7287759999963,113508.06614399992,0.0,406.573979,0.0
2707,2580.7287759999963,113552.06614399992,0.0,406.573979,0.0
2708,2581.7287759999963,113596.06614399992,0.0,406.7697794916044,0.0
2709,2582.7287759999963,113640.06614399992,0.0,406.96557998320884,0.0
2710,2583.7287759999963,113684.06614399992,0.0,407.16138047481326,0.0
2711,2583.7922040000003,113686.8569760001,0.0,407.3696002,0.0
2712,2584.7922040000003,113730.8569760001,0.0,407.3696002,0.0
2713,2585.7922040000003,113774.8569760001,0.0,407.34980020295313,0.0
2714,2586.7922040000003,113818.8569760001,0.0,407.3300002059063,0.0
2715,2587.7922040000003,113862.8569760001,0.0,407.31020020885944,0.0
2716,2587.855644,113865.6483360001,0.0,407.2891441,0.0
2717,2588.855644,113909.6483360001,0.0,407.2891441,0.0
2718,2589.855644,113953.6483360001,0.0,407.0537441925324,0.0
2719,2590.855644,113997.6483360001,0.0,406.8183442850648,0.0
2720,2591.855644,114041.6483360001,0.0,406.58294437759724,0.0
2721,2591.919084,114044.4396960001,0.0,406.3326107,0.0
2722,2592.919084,114088.4396960001,0.0,406.3326107,0.0
2723,2593.919084,114132.4396960001,0.0,405.88161088211166,0.0
2724,2594.919084,114176.4396960001,0.0,405.43061106422334,0.0
2725,2595.919084,114220.4396960001,0.0,404.979611246335,0.0
2726,2595.982524,114223.2310560001,0.0,404.5,0.0
2727,2596.982524,114267.2310560001,0.0,404.5,0.0
2728,2597.982524,114311.2310560001,0.0,403.9364437675393,0.0
2729,2598.982524,114355.2310560001,0.0,403.3728875350786,0.0
2730,2599.982524,114399.2310560001,0.0,402.80933130261786,0.0
2731,2600.982524,114443.2310560001,0.0,402.24577507015715,0.0
2732,2601.982524,114487.2310560001,0.0,401.68221883769644,0.0
2733,2602.982524,114531.2310560001,0.0,401.1186626052357,0.0
2734,2603.982524,114575.2310560001,0.0,400.555106372775,0.0
2735,2604.982524,114619.2310560001,0.0,399.9915501403143,0.0
2736,2605.982524,114663.2310560001,0.0,399.4279939078536,0.0
2737,2606.982524,114707.2310560001,0.0,398.8644376753929,0.0
2738,2607.982524,114751.2310560001,0.0,398.30088144293217,0.0
2739,2608.982524,114795.2310560001,0.0,397.73732521047145,0.0
2740,2609.982524,114839.2310560001,0.0,397.17376897801074,0.0
2741,2610.982524,114883.2310560001,0.0,396.61021274555003,0.0
2742,2611.982524,114927.2310560001,0.0,396.0466565130893,0.0
2743,2612.982524,114971.2310560001,0.0,395.4831002806286,0.0
2744,2613.982524,115015.2310560001,0.0,394.9195440481679,0.0
2745,2614.982524,115059.2310560001,0.0,394.3559878157072,0.0
2746,2615.982524,115103.2310560001,0.0,393.79243158324647,0.0
2747,2616.982524,115147.2310560001,0.0,393.22887535078576,0.0
2748,2617.982524,115191.2310560001,0.0,392.66531911832504,0.0
2749,2618.982524,115235.2310560001,0.0,392.10176288586433,0.0
2750,2619.982524,115279.2310560001,0.0,391.5382066534036,0.0
2751,2620.982524,115323.2310560001,0.0,390.9746504209429,0.0
